
19_7_2024:16_39_44: Successfully imported ladbrokes dependencys
19_7_2024:16_39_44: Successfully imported neds dependencys
19_7_2024:16_39_44: Successfully imported palmerbet dependencys
19_7_2024:16_39_44: Successfully imported playup dependencys
19_7_2024:16_39_44: Successfully imported pointsbet dependencys
19_7_2024:16_39_44: Successfully imported sportsbett dependencys
19_7_2024:16_39_44: Successfully imported tab dependencys
19_7_2024:16_39_44: [Errno 2] No such file or directory: 'C:\\Users\\William\\Desktop\\PersonalProjects\\Arbie\\Arbie 3.1\\betshock_v2\\backend\\intergrations\\engine\\__pycache__\\__pycache__.py'
19_7_2024:16_39_44: starting multiTask on Arbie.
19_7_2024:16_40_9: multiTask on Arbie succeeded.
19_7_2024:16_44_0: Initalizeing task schedular
19_7_2024:16_44_0: No module named 'bs4'
19_7_2024:16_44_0: Successfully imported betfair dependencys
19_7_2024:16_44_0: Successfully imported betm dependencys
19_7_2024:16_44_0: Successfully imported boombet dependencys
19_7_2024:16_44_0: Successfully imported diamondbet dependencys
19_7_2024:16_44_0: Successfully imported ladbrokes dependencys
19_7_2024:16_44_0: Successfully imported neds dependencys
19_7_2024:16_44_0: Successfully imported palmerbet dependencys
19_7_2024:16_44_0: Successfully imported playup dependencys
19_7_2024:16_44_0: Successfully imported pointsbet dependencys
19_7_2024:16_44_0: Successfully imported sportsbett dependencys
19_7_2024:16_44_0: Successfully imported tab dependencys
19_7_2024:16_44_0: [Errno 2] No such file or directory: 'C:\\Users\\William\\Desktop\\PersonalProjects\\Arbie\\Arbie 3.1\\betshock_v2\\backend\\intergrations\\engine\\__pycache__\\__pycache__.py'
19_7_2024:16_44_0: starting multiTask on Arbie.
19_7_2024:16_44_29: multiTask on Arbie succeeded.
19_7_2024:16_44_29: 'databaseOperations' object has no attribute 'conn'
19_7_2024:16_44_29: multiTask on Arbie failed.
19_7_2024:16_44_56: Initalizeing task schedular
19_7_2024:16_44_56: No module named 'bs4'
19_7_2024:16_44_56: Successfully imported betfair dependencys
19_7_2024:16_44_56: Successfully imported betm dependencys
19_7_2024:16_44_56: Successfully imported boombet dependencys
19_7_2024:16_44_56: Successfully imported diamondbet dependencys
19_7_2024:16_44_56: Successfully imported ladbrokes dependencys
19_7_2024:16_44_56: Successfully imported neds dependencys
19_7_2024:16_44_56: Successfully imported palmerbet dependencys
19_7_2024:16_44_56: Successfully imported playup dependencys
